VARIABLE1_LABEL,VARIABLE2_LABEL,EFFECT,EFFECT_L95,EFFECT_U95,N,P,P_ADJ,Drug1,Drug2,Drug1_N,Drug1_LCI95,Drug1_UCI95,Drug1_OR,Drug1_P,Drug1_PFDR,Drug2_N,Drug2_LCI95,Drug2_UCI95,Drug2_OR,Drug2_P,Drug2_PFDR,Interaction_Event_N,Name,Type,Magnitude
A06AC51,A02BD07,0.626436785,0.131042175,2.994631649,1181,0.5579,1,A07EA06,A07EC02,4506,1.037354196,4.155686886,2.076275326,0.0391,0.101828864,71045,0.913773887,1.379590209,1.122779367,0.2705,0.327424493,2,budesonide / mesalazine,++ -,NORMAL
A10AC01,A01AB04,0.004606339,2.10E-23,1.00899E+18,25,0.822,1,A07EA06,A07AA02,4506,1.035706979,3.583416209,1.926491416,0.0384,0.100378755,13145,1.819235829,3.440910681,2.501964827,1.69E-08,3.81E-08,0,budesonide / nystatin,++ -,NORMAL
A10AE05,A10BB07,0.00831649,1.61E-61,4.29E+56,3,0.9446,1,A07EA06,A02BD03,4506,1.029798399,3.562948067,1.915494248,0.0401,0.103750631,6812,0.77075516,2.516176781,1.392607712,0.2725,0.329127103,0,"budesonide / lansoprazole, amoxicillin and metronidazole",++ -,NORMAL
A10BA02,A10AD04,1.321601613,0.166821693,10.47004615,311,0.792,1,A07EA06,A10BA02,4506,0.972216319,3.597131342,1.870077483,0.0607,0.147916046,1658920,1.08616918,1.18656476,1.135257712,1.86E-08,4.15E-08,1,budesonide / metformin,++ +,NORMAL
A04AA01,A03FA01,8.317147765,0.988859172,69.95429575,29,0.05122,0.872443586,A07EA06,A02BC04,4506,0.901789017,3.336180562,1.734511744,0.0989,0.217393071,12177,1.489505044,3.050945392,2.131759496,3.50E-05,6.31E-05,1,budesonide / rabeprazole,++ +,LARGE_INCREASE
A04AA02,A07EC02,0.00109285,9.12E-25,1.3101E+18,172,0.783,1,A07EA06,A10BB12,4506,1.084652292,3.752986485,2.017593961,0.0267,0.072640637,756692,1.302200648,1.462948688,1.380236476,1.94E-27,7.49E-27,0,budesonide / glimepiride,++ -,NORMAL
A10AC01,A02BD03,5.279461812,0.642475565,43.38331067,52,0.122,1,A07EA06,A01AB09,4506,0.906571282,3.353895893,1.743716061,0.0957,0.211686655,19813,1.354790329,2.483514877,1.834296033,8.71E-05,0.000152511,1,budesonide / miconazole,++ +,LARGE_INCREASE
A05AA02,A10AB05,0.000944992,2.79E-28,3.20E+21,127,0.809,1,A07EA06,A06AC51,4506,1.060352829,3.66880878,1.972367047,0.032,0.085348552,47769,1.309494317,1.986369872,1.612805028,6.90E-06,1.31E-05,0,"budesonide / ispaghula, combinations",++ -,NORMAL
A06AD12,A02BA02,0.017388726,3.37E-61,8.98E+56,3,0.9532,1,A07EA06,A02BD07,4506,1.029538063,3.562047157,1.915009956,0.0402,0.10394542,7760,0.299203562,1.482639204,0.666041238,0.3195,0.375678549,0,"budesonide / lansoprazole, amoxicillin and clarithromycin",-+ -,NORMAL
A06AC51,A10BB01,0.012297374,3.90E-19,3.87793E+14,38,0.8205,1,A07EA06,A10BB01,4506,1.036731582,3.586987229,1.928404249,0.0381,0.099726251,309487,0.839023318,1.040749657,0.93445879,0.2175,0.271259637,0,budesonide / glibenclamide,-+ -,NORMAL
A02BA04,A10BB12,0.002874844,8.64E-20,9.56939E+13,103,0.763,1,A07EA06,A02BA02,4506,1.055564855,3.652217863,1.963454308,0.0331,0.087871469,109219,1.252732791,1.676057101,1.449017491,5.91E-07,1.18E-06,0,budesonide / ranitidine,++ -,NORMAL
A10AE05,A10AE04,0.003774361,1.25E-48,1.14E+43,5,0.9168,1,A07EA06,A04AA01,4506,1.030354394,3.564873803,1.916528995,0.03994,0.103493165,2258,1.531797552,6.141335314,3.067129341,0.00156,0.002531398,0,budesonide / ondansetron,++ -,NORMAL
A05AA02,A10AD04,0.465314984,0.05877147,3.684067022,449,0.469,1,A07EA06,A02BC05,4506,1.023580056,3.787315557,1.968913576,0.0424,0.108894807,524626,2.039114059,2.282991877,2.157609981,7.39E-157,7.23E-156,1,budesonide / esomeprazole,++ -,NORMAL
A07EA06,A02BD03,1.297045747,0.274168735,6.136103265,429,0.743,1,A07EA06,A02BC03,4506,0.860241807,3.445130474,1.721524111,0.125,0.25973097,437068,1.719141524,1.962354335,1.836726659,1.59E-72,1.05E-71,2,budesonide / lansoprazole,++ +,NORMAL
A02BD03,A02BC03,0.000892998,7.56E-22,1.05488E+15,234,0.741,1,A07EA06,A06AC01,4506,1.092909764,3.781603219,2.03296608,0.0251,0.068930426,216101,1.510614958,1.83496999,1.664912344,9.30E-25,3.35E-24,0,budesonide / ispaghula (psylla seeds),++ -,NORMAL
A03FA02,A07EC02,0.002267667,7.43E-24,6.92305E+17,67,0.8,1,A07EA06,A03FA01,4506,1.047625706,3.624706076,1.948675259,0.0351,0.092710362,72453,1.581209344,2.169287292,1.852052196,2.17E-14,5.82E-14,0,budesonide / metoclopramide,++ -,NORMAL
A07AA02,A02BD03,0.201415537,0.025471932,1.592663564,840,0.1288,1,A07EA06,A02BC02,4506,1.157984805,4.28532521,2.227631361,0.0164,0.049736057,770822,2.297772558,2.516216488,2.404515169,0,0,1,budesonide / pantoprazole,++ -,NORMAL
A04AD12,A02BC05,0.00217271,2.29E-21,2.06062E+15,87,0.772,1,A07EA06,A06AD11,4506,1.068443923,3.696789644,1.987413502,0.0301,0.08076324,412188,1.800375669,2.056681531,1.924265934,8.34E-83,6.74E-82,0,budesonide / lactulose,++ -,NORMAL
A04AA03,A07EC01,0.000659373,9.58E-25,4.53954E+17,176,0.765,1,A07EA06,A02BC01,4506,1.092975833,3.78177735,2.033074335,0.025,0.068689439,334991,2.135670955,2.4458326,2.285496367,3.53E-126,3.23E-125,0,budesonide / omeprazole,++ -,NORMAL
A06AC01,A02BC01,0.002348979,3.30E-20,1.67139E+14,99,0.7598,1,A10AB06,A10AB04,5063,1.572130715,4.333607663,2.61017197,0.000208,0.000949092,37011,1.026854486,1.727581752,1.331906556,0.0308,0.044550528,0,insulin glulisine / insulin lispro,++ -,NORMAL
A05AA02,A02BC02,0.006997249,2.32E-48,2.11E+43,5,0.926,1,A10AB06,A05AA02,5063,1.542212351,4.251013778,2.560462059,0.000278,0.00124492,15318,0.815105802,1.881879053,1.238519493,0.3163,0.373179287,0,insulin glulisine / ursodeoxycholic acid,++ -,NORMAL
A02BC04,A10AD04,0.004253804,9.26E-34,1.95E+28,11,0.8795,1,A10AB06,A02BA03,5063,1.544687713,4.257844915,2.56457418,0.000272,0.001221519,11889,1.404075428,2.949041184,2.03486517,0.000175,0.000301965,0,insulin glulisine / famotidine,++ -,NORMAL
A07EC01,A10AD04,0.00399454,7.73E-62,2.06E+56,3,0.9362,1,A10AB06,A04AA02,5063,1.541503273,4.249055776,2.559283764,0.00028,0.001252543,1991,0.902293316,5.220637591,2.170379322,0.08356,0.113247959,0,insulin glulisine / granisetron,++ -,NORMAL
A10AB05,A07DA03,0.002741125,5.32E-27,1.41E+21,50,0.8323,1,A10AB06,A10AB01,5063,1.556377095,4.290118626,2.583997362,0.000242,0.001096944,49415,0.905135525,1.467885424,1.152664411,0.2494,0.305114738,0,insulin glulisine / insulin (human),++ -,NORMAL
A07EA02,A07EC02,0.000544907,5.24E-25,5.66955E+17,173,0.761,1,A10AB06,A10AD05,5063,1.603343584,4.419759928,2.662028122,0.000154,0.000721043,100627,1.832385381,2.362441919,2.080601845,1.26E-29,5.05E-29,0,insulin glulisine / insulin aspart,++ -,NORMAL
A05AA02,A02BA03,0.746857048,0.097230036,5.736863582,213,0.779,1,A10AB06,A10AE05,5063,1.480198532,4.227632087,2.501546483,0.000615,0.002557964,70496,1.881431111,2.529772703,2.181649162,5.31E-25,1.92E-24,1,insulin glulisine / insulin detemir,++ -,NORMAL
A03FA02,A10BB07,0.000551189,1.23E-25,2.4749E+18,163,0.768,1,A10AB06,A10AB05,5063,1.600025288,4.410598773,2.656514553,0.000159,0.000742044,101983,1.815693869,2.339698014,2.06111022,5.03E-29,2.00E-28,0,insulin glulisine / insulin aspart,++ -,NORMAL
A10AB05,A02BD03,1216.089403,2.46E-21,6.01E+26,4693,0.799,1,A10AB06,A10AE04,5063,2.26E-27,5.50E+20,0.001114916,0.807,0.898480412,190759,1.869327837,2.258297949,2.05462873,2.03E-50,1.05E-49,15,insulin glulisine / insulin glargine,-+ +,NORMAL
A03CA02,A07EC02,0.01164048,1.25E-26,1.09E+22,18,0.8743,1,A10AB06,A07EC01,5063,1.542933648,4.253024797,2.561666463,0.000276,0.001236952,156322,0.626985573,0.879465961,0.742571525,0.000565,0.000943015,0,insulin glulisine / sulfasalazine,-+ -,NORMAL
A02BA03,A02BC03,0.000848679,3.03E-27,2.37E+20,139,0.797,1,A10AB06,A10AC01,5063,1.596029711,4.399579131,2.649879055,0.000165,0.000766432,458569,1.248349678,1.4495604,1.345198223,7.33E-15,2.02E-14,0,insulin glulisine / insulin (human),++ -,NORMAL
A10AC01,A06AD11,0.002796338,1.57E-26,4.99E+20,52,0.8296,1,A10AB06,A07EC02,5063,1.557123068,4.292179004,2.585237115,0.000241,0.001092754,71045,0.921243479,1.38472045,1.129453268,0.2416,0.29812671,0,insulin glulisine / mesalazine,++ -,NORMAL
A01AB04,A02BC02,0.003464631,4.38E-37,2.74E+31,9,0.887,1,A10AB06,A07AA02,5063,1.544622396,4.257662882,2.564465137,0.000272,0.001221519,13145,1.817341449,3.437324129,2.49935824,1.76E-08,3.95E-08,0,insulin glulisine / nystatin,++ -,NORMAL
A10AE04,A06AC51,1.109212494,0.393799775,3.124309446,1755,0.844,1,A10AB06,A10BA02,5063,1.233439968,4.56536246,2.372994001,0.00964,0.031043463,1658920,1.0845992,1.18496005,1.133669583,2.74E-08,6.03E-08,6,insulin glulisine / metformin,++ +,NORMAL
A01AB09,A02BC03,0.003934117,8.56E-34,1.81E+28,11,0.878,1,A10AB06,A02BC04,5063,1.54485857,4.258316037,2.564857895,0.000271,0.001217679,12177,1.546294768,3.130686208,2.200219012,1.18E-05,2.20E-05,0,insulin glulisine / rabeprazole,++ -,NORMAL
A10AB05,A10AD04,0.000815144,6.16E-23,1.07907E+16,209,0.752,1,A10AB06,A10BB12,5063,1.629097487,4.490863954,2.70482073,0.00012,0.000576999,756692,1.302514119,1.463301777,1.380569167,1.78E-27,6.89E-27,0,insulin glulisine / glimepiride,++ -,NORMAL
A10AC01,A10AD04,0.004622125,1.69E-41,1.26E+36,7,0.905,1,A10AB06,A01AB09,5063,1.543834758,4.255489543,2.563156778,0.000274,0.001229079,19813,1.389160311,2.52859935,1.874201125,3.94E-05,7.08E-05,0,insulin glulisine / miconazole,++ -,NORMAL
A07DA03,A10AC01,0.005383868,1.97E-41,1.47E+36,7,0.908,1,A10AB06,A06AC51,5063,1.544706594,4.257895266,2.564605017,0.000272,0.001221519,47769,1.306427882,1.981716201,1.609027439,7.65E-06,1.45E-05,0,"insulin glulisine / ispaghula, combinations",++ -,NORMAL
A07AA02,A02BC05,0.005146285,3.57E-35,7.42E+29,10,0.8891,1,A10AB06,A10AD04,5063,1.543859901,4.255561105,2.563199201,0.000274,0.001229079,7701,1.013545929,2.792336021,1.682308178,0.04422,0.062635331,0,insulin glulisine / Insulin lispro ,++ -,NORMAL
A07EA06,A10AB01,0.009252809,3.49E-28,2.46E+23,16,0.8754,1,A10AB06,A10BB01,5063,1.543803308,4.255430762,2.563112968,0.000274,0.001229079,309487,0.839116063,1.040865013,0.934562225,0.2182,0.271994878,0,insulin glulisine / glibenclamide,-+ -,NORMAL
A02BA04,A06AC51,0.009064373,1.76E-61,4.67E+56,3,0.9456,1,A10AB06,A10BB07,5063,1.541051488,4.247815506,2.558535207,0.000281,0.001256181,86470,0.782657254,1.168846759,0.956455119,0.6635,0.71150657,0,insulin glulisine / glipizide,-+ -,NORMAL
A02BX02,A02BD07,0.005960247,2.73E-23,1.30266E+18,25,0.83,1,A10AB06,A02BA02,5063,1.551713345,4.277237296,2.576246531,0.000254,0.001147319,109219,1.252059675,1.67515571,1.448238556,6.14E-07,1.23E-06,0,insulin glulisine / ranitidine,++ -,NORMAL
A01AB09,A02BD02,0.002826827,4.02E-54,1.99E+48,4,0.9217,1,A10AB06,A04AA01,5063,1.541980654,4.250373077,2.560076768,0.000279,0.001248678,2258,1.531392623,6.139705414,3.06631694,0.001561,0.00253294,0,insulin glulisine / ondansetron,++ -,NORMAL
A02BA04,A02BD02,0.762895861,0.099771551,5.833427349,211,0.794,1,A10AB06,A02BC05,5063,1.516607243,4.331680614,2.563095432,0.000439,0.001880635,524626,2.038551667,2.282363569,2.157015544,9.58E-157,9.35E-156,1,insulin glulisine / esomeprazole,++ -,NORMAL
A10AB05,A06AC51,0.000614063,4.79E-24,7.87417E+16,189,0.754,1,A10AB06,A02BC03,5063,1.628470717,4.489089423,2.703766016,0.000121,0.000581392,437068,1.72253331,1.965954868,1.840223559,4.07E-73,2.75E-72,0,insulin glulisine / lansoprazole,++ -,NORMAL
A03FA02,A07DA03,0.001881938,9.56E-21,3.70496E+14,94,0.757,1,A10AB06,A06AC01,5063,1.580427273,4.356491158,2.623950732,0.000192,0.000878826,216101,1.509900963,1.834103112,1.664125612,1.03E-24,3.70E-24,0,insulin glulisine / ispaghula (psylla seeds),++ -,NORMAL
A02BB01,A02BC01,0.004654629,9.21E-21,2.35279E+15,33,0.796,1,A10AB06,A03FA01,5063,1.555132087,4.286669659,2.581925161,0.000245,0.001109247,72453,1.580749969,2.16865694,1.851514081,2.23E-14,5.98E-14,0,insulin glulisine / metoclopramide,++ -,NORMAL
A02BB01,A02BC02,0.234806344,0.030803236,1.789877488,568,0.162,1,A10AB06,A02BC02,5063,1.673550919,4.780566867,2.828519414,0.000103,0.000499685,770822,2.297382773,2.515791723,2.404108268,0,0,1,insulin glulisine / pantoprazole,++ -,NORMAL
A08AA10,A07EC02,0.830920193,0.108648128,6.354719419,217,0.858,1,A10AB06,A06AD11,5063,1.502464354,4.291272291,2.539189565,5.00E-04,0.002108136,412188,1.799154359,2.055432532,1.923028965,1.47E-82,1.17E-81,1,insulin glulisine / lactulose,++ -,NORMAL
A09AA02,A06AC51,0.000498446,1.12E-26,2.20855E+19,149,0.775,1,A10AB06,A02BC01,5063,1.620001897,4.465684226,2.689687141,0.000131,0.00062557,334991,2.135895798,2.446091341,2.285737565,3.29E-126,3.01E-125,0,insulin glulisine / omeprazole,++ -,NORMAL
A02BC05,A02BC03,0.001783912,6.87E-21,4.63081E+14,252,0.7571,1,A10AB04,A05AA02,37011,1.030932088,1.734445124,1.337196744,0.0286,0.077066243,15318,0.828661659,1.913206459,1.259127014,0.2804,0.336782933,0,insulin lispro / ursodeoxycholic acid,++ -,NORMAL
A07DA03,A02BD03,0.00769767,1.49E-61,3.97E+56,3,0.9437,1,A10AB04,A04AA02,37011,1.023909794,1.722622188,1.328084986,0.0325,0.086460535,1991,0.902477797,5.221706641,2.170823416,0.0835,0.113169681,0,insulin lispro / granisetron,++ -,NORMAL
A07EC03,A10AC01,0.003350326,1.23E-41,9.16E+35,7,0.9,1,A10AB04,A07AA09,37011,1.024211659,1.723130296,1.328476624,0.0323,0.086025956,1570,2.589659028,9.604104741,4.987119063,1.54E-06,3.00E-06,0,insulin lispro / vancomycin,++ -,NORMAL
A02BB01,A10BA02,0.016316176,1.83E-19,1.4544E+15,36,0.836,1,A10AB04,A02BA04,37011,1.024728401,1.724000663,1.329147261,0.032,0.085348552,16040,0.65239522,1.604885202,1.023239676,0.92,0.935796538,0,insulin lispro / nizatidine,++ -,NORMAL
A10AB06,A05AA02,0.018425159,2.06E-19,1.64549E+15,36,0.841,1,A10AB04,A03FA02,37011,1.02466174,1.723888162,1.329060662,0.0321,0.085581349,10497,0.501603708,1.636847751,0.906117488,0.7439,0.78267392,0,insulin lispro / cisapride,-+ -,NORMAL
A02BA03,A10AD05,0.020951914,1.31E-23,3.36E+19,23,0.8767,1,A10AB04,A10BD03,37011,1.024068329,1.722890214,1.328291121,0.0324,0.086233136,28120,0.542560228,1.171121552,0.79712231,0.248,0.303560179,0,insulin lispro / metformin and rosiglitazone,-+ -,NORMAL
A07EC01,A01AB04,5.152288758,1.223281928,21.70070435,233,0.0254,0.583592621,A10AB04,A10AB01,37011,0.989659779,1.680626172,1.289669774,0.0597,0.145848892,49415,0.877776093,1.434177219,1.122001103,0.358,0.409819101,2,insulin lispro / insulin (human),++ +,LARGE_INCREASE
A07AA02,A02BA02,1.126872104,0.349200998,3.636417844,863,0.842,1,A10AB04,A10AD05,37011,0.990961685,1.691058662,1.29451703,0.0583,0.142912865,100627,1.820849382,2.351282632,2.069137871,7.25E-29,2.86E-28,3,insulin lispro / insulin aspart,++ +,NORMAL
A08AA10,A10BD03,0.832228392,0.113362327,6.109649629,692,0.8567,1,A10AB04,A10AD01,37011,1.022868043,1.728830422,1.329799004,0.0333,0.088372201,51230,0.884236962,1.433975033,1.126043395,0.3358,0.387419617,1,insulin lispro / insulin (human),++ -,NORMAL
A02BA04,A10AB05,0.799097273,0.396809319,1.609227458,4017,0.53,1,A10AB04,A10AE05,37011,0.925736275,1.64144875,1.232699741,0.152,0.304718433,70496,1.880677588,2.548494524,2.189268493,5.09E-24,1.80E-23,10,insulin lispro / insulin detemir,++ -,NORMAL
A03FA02,A07EC01,4.119564091,1.270478189,13.35781161,246,0.0183,0.480169155,A10AB04,A10AB05,37011,0.974257876,1.662542195,1.272691961,0.0769,0.180751796,101983,1.793357494,2.314544166,2.037352479,7.89E-28,3.07E-27,3,insulin lispro / insulin aspart,++ +,LARGE_INCREASE
A02BC05,A06AC01,0.032715637,9.92E-44,1.08E+40,6,0.9441,1,A10AB04,A07DA03,37011,1.02375642,1.722364122,1.327886037,0.0326,0.086669465,5065,0.164943866,1.581430626,0.510732103,0.244,0.299896799,0,insulin lispro / loperamide,-+ -,NORMAL
A03BA03,A06AC01,0.018089181,8.29E-23,3.94796E+18,25,0.8666,1,A10AB04,A03CA02,37011,1.02423143,1.723165664,1.328503079,0.0323,0.086025956,45756,0.697467553,1.222048529,0.923222182,0.5766,0.626168185,0,insulin lispro / clidinium and psycholeptics,-+ -,NORMAL
A06AD12,A02BC01,0.447071639,0.261889162,0.763197107,15969,0.00317,0.151141285,A10AB04,A10AE04,37011,0.970049117,1.921242918,1.36517398,0.0742,0.175735376,190759,1.948188538,2.358148189,2.143389203,3.40E-55,1.88E-54,24,insulin lispro / insulin glargine,++ -,NORMAL
A02BA03,A10AD04,0.003018559,2.72E-20,3.35168E+14,263,0.772,1,A10AB04,A07EC01,37011,1.029062694,1.731305264,1.33477401,0.02957,0.079501764,156322,0.628081046,0.88107075,0.743897734,0.000612,0.001019051,0,insulin lispro / sulfasalazine,-+ -,NORMAL
A02BD03,A06AC01,0.641517667,0.372393687,1.105133979,14901,0.11,1,A10AB04,A10AC01,37011,1.019718748,1.961836968,1.414398083,0.0378,0.099059159,458569,1.250430051,1.455168073,1.348920268,1.01E-14,2.77E-14,21,insulin lispro / insulin (human),++ -,NORMAL
A02BC04,A06AC51,13.63405393,1.771339643,104.9417187,27,0.01211,0.369333035,A10AB04,A02BX02,37011,1.004838376,1.698342891,1.306353747,0.04593,0.116925574,16734,1.341045125,2.580449818,1.860241825,0.000201,0.000346296,1,insulin lispro / sucralfate,++ +,LARGE_INCREASE
A10AE05,A02BC02,0.001989266,1.66E-24,2.37786E+18,172,0.8017,1,A10AB04,A07EC02,37011,1.028957723,1.731125067,1.33463647,0.0296,0.07956335,71045,0.922999844,1.387362969,1.131607619,0.2343,0.290660765,0,insulin lispro / mesalazine,++ -,NORMAL
A05AA02,A07EC01,0.002444127,5.62E-24,1.06247E+18,66,0.804,1,A10AB04,A07AA02,37011,1.026515405,1.727011674,1.331466893,0.031,0.082992786,13145,1.825661593,3.453077897,2.51080698,1.49E-08,3.38E-08,0,insulin lispro / nystatin,++ -,NORMAL
A02BX02,A02BA02,0.011971674,7.92E-30,1.81E+25,14,0.8898,1,A10AB04,A02BD03,37011,1.024232405,1.723165423,1.328503619,0.0323,0.086025956,6812,0.77230136,2.521229769,1.395402874,0.2696,0.32654262,0,"insulin lispro / lansoprazole, amoxicillin and metronidazole",++ -,NORMAL
A10AE05,A02BC03,0.600479413,0.257290824,1.401431737,5439,0.238,1,A10AB04,A10BA02,37011,1.069471031,1.853626028,1.407977038,0.0147,0.045265884,1658920,1.087487694,1.18812496,1.13669313,1.39E-08,3.16E-08,6,insulin lispro / metformin,++ -,NORMAL
A02BC02,A06AD11,0.002781421,1.75E-27,4.41E+21,48,0.836,1,A10AB04,A02BC04,37011,1.025763351,1.725745772,1.330491174,0.0314,0.083965679,12177,1.551342999,3.140918277,2.207406075,1.08E-05,2.02E-05,0,insulin lispro / rabeprazole,++ -,NORMAL
A02BA04,A10AD04,1.537188716,0.479078849,4.932276086,947,0.47,1,A10AB04,A10BB12,37011,1.001795336,1.709590633,1.308686334,0.0485,0.122501151,756692,1.300602454,1.461363647,1.378641775,3.43E-27,1.30E-26,3,insulin lispro / glimepiride,++ +,LARGE_INCREASE
A07DA03,A02BC03,0.003265896,3.15E-25,3.38381E+19,58,0.825,1,A10AB04,A01AB09,37011,1.026175908,1.726440574,1.331026567,0.0312,0.083468455,19813,1.393042936,2.535673523,1.879441962,3.64E-05,6.56E-05,0,insulin lispro / miconazole,++ -,NORMAL
A10AE05,A06AC01,0.0038086,6.09E-24,2.3814E+18,65,0.82,1,A10AB04,A06AC51,37011,1.026951562,1.727747698,1.332033482,0.0307,0.082257258,47769,1.308292704,1.98454912,1.611325893,7.19E-06,1.37E-05,0,"insulin lispro / ispaghula, combinations",++ -,NORMAL
A02BD03,A01AB09,0.010519599,3.19E-44,3.47E+39,6,0.9256,1,A10AB04,A02BD02,37011,1.023925613,1.722648772,1.328105493,0.0325,0.086460535,1635,0.511710727,4.93030981,1.588361551,0.4233,0.475411286,0,"insulin lispro / lansoprazole, tetracycline and metronidazole",++ -,NORMAL
A07EC01,A06AC51,0.025032337,1.38E-28,4.55E+24,15,0.9049,1,A10AB04,A02BD07,37011,1.024000791,1.722775557,1.328203122,0.0325,0.086460535,7760,0.29978194,1.485515505,0.667331043,0.3219,0.37693062,0,"insulin lispro / lansoprazole, amoxicillin and clarithromycin",-+ -,NORMAL
A01AB04,A10BB12,0.887700782,0.195384093,4.033146539,898,0.8774,1,A10AB04,A10AD04,37011,1.00783126,1.711495597,1.313354013,0.0436,0.111618919,7701,0.956586055,2.840956677,1.64852041,0.0718,0.098970721,2,insulin lispro / Insulin lispro ,++ -,NORMAL
A02BX02,A06AD11,0.002406738,3.06E-24,1.89387E+18,175,0.806,1,A10AB04,A10BB01,37011,1.027585492,1.728827349,1.332860796,0.0304,0.081507527,309487,0.839721286,1.041630313,0.935242827,0.2232,0.277750828,0,insulin lispro / glibenclamide,-+ -,NORMAL
A10AC01,A10BA02,0.006409113,5.85E-23,7.0212E+17,70,0.8302,1,A10AB04,A10BB07,37011,1.025470856,1.725256957,1.330113051,0.0316,0.084419986,86470,0.783420222,1.170009165,0.957396908,0.6705,0.71822718,0,insulin lispro / glipizide,-+ -,NORMAL
A03BA03,A02BA04,0.000566266,7.09E-27,4.52193E+19,396,0.781,1,A10AB04,A02BA02,37011,1.037251552,1.745086989,1.345397409,0.0254,0.069680365,109219,1.256619222,1.681261572,1.453514915,4.76E-07,9.57E-07,0,insulin lispro / ranitidine,++ -,NORMAL
A09AA02,A10AC01,0.005430352,1.18E-33,2.50E+28,11,0.8849,1,A10AB04,A04AA01,37011,1.024246254,1.723188532,1.328521509,0.03232,0.086076952,2258,1.536489288,6.160189022,3.076534486,0.00151,0.002453735,0,insulin lispro / ondansetron,++ -,NORMAL
A05AA02,A10BA02,0.566921462,0.137951208,2.329808853,1068,0.431,1,A10AB04,A02BC05,37011,1.041903311,1.769418914,1.357778857,0.0236,0.065272771,524626,2.040772522,2.284958516,2.159416716,4.61E-157,4.60E-156,2,insulin lispro / esomeprazole,++ -,NORMAL
A10AB04,A03FA01,0.000161252,9.43E-28,2.75784E+19,1046,0.749,1,A10AB04,A02BC03,37011,1.072157672,1.803861929,1.39069206,0.013,0.040698983,437068,1.726409189,1.970387919,1.844368675,1.22E-73,8.27E-73,0,insulin lispro / lansoprazole,++ -,NORMAL
A09AA02,A02BC03,0.000492099,2.35E-24,1.03033E+17,503,0.75,1,A10AB04,A06AC01,37011,1.04501223,1.75815633,1.355468505,0.0219,0.061502779,216101,1.513129255,1.838030639,1.667686401,6.58E-25,2.38E-24,0,insulin lispro / ispaghula (psylla seeds),++ -,NORMAL
A10AE05,A03FA01,1.873889777,0.256446103,13.69279103,191,0.536,1,A10AB04,A03FA01,37011,1.011578179,1.709742552,1.315119103,0.0408,0.105294562,72453,1.573446715,2.160837633,1.843898825,4.00E-14,1.06E-13,1,insulin lispro / metoclopramide,++ +,LARGE_INCREASE
A02BC04,A02BD07,1.227103352,0.60047843,2.50763818,2221,0.575,1,A10AB04,A02BC02,37011,0.942163279,1.660662628,1.250845853,0.122,0.254450661,770822,2.293149721,2.511581263,2.399881637,0,0,9,insulin lispro / pantoprazole,++ +,NORMAL
A07EC03,A07EC01,2.111932776,0.839452734,5.313295042,862,0.112,1,A10AB04,A06AD11,37011,0.96164085,1.657778755,1.262611489,0.0933,0.207500976,412188,1.793893802,2.050014753,1.917683175,1.58E-81,1.23E-80,5,insulin lispro / lactulose,++ +,LARGE_INCREASE
A02BX02,A07EC02,0.245371482,0.033910991,1.775446902,1139,0.164,1,A10AB04,A02BC01,37011,1.056732928,1.786114992,1.373843705,0.0177,0.052523493,334991,2.140223511,2.451242922,2.290460157,1.10E-126,1.01E-125,1,insulin lispro / omeprazole,++ -,NORMAL
A10AB05,A06AC01,0.008784482,4.02E-23,1.92062E+18,25,0.8429,1,A05AA02,A02BA03,15318,0.816345752,1.884743768,1.240404195,0.3128,0.522085593,11889,1.405450799,2.951933357,2.036859616,0.000171,0.000295255,0,ursodeoxycholic acid / famotidine,++ -,NORMAL
A02BC04,A02BA02,0.014679701,2.84E-61,7.58E+56,3,0.951,1,A05AA02,A07EA02,15318,0.814733467,1.881019027,1.237953615,0.317,0.524760282,4945,0.581552406,2.562015009,1.220633439,0.598,0.646175423,0,ursodeoxycholic acid / hydrocortisone,++ -,NORMAL
A10AB01,A10AE05,0.005699301,2.24E-25,1.45E+20,56,0.844,1,A05AA02,A10AB01,15318,0.817816484,1.888152664,1.242643301,0.309,0.518877385,49415,0.905061582,1.467765847,1.152570379,0.25,0.305733912,0,ursodeoxycholic acid / insulin (human),++ -,NORMAL
A10BB12,A02BD07,0.003160574,7.15E-25,1.39735E+19,60,0.821,1,A05AA02,A10AD05,15318,0.821989104,1.897791896,1.248985292,0.298,0.507291995,100627,1.829940568,2.359289965,2.077825887,1.59E-29,6.36E-29,0,ursodeoxycholic acid / insulin aspart,++ -,NORMAL
A07DA03,A10BA02,0.015868356,9.89E-24,2.54498E+19,23,0.868,1,A05AA02,A10AD01,15318,0.81601329,1.883977197,1.239899363,0.314,0.52273437,51230,0.887156106,1.433521886,1.127722348,0.326,0.379540009,0,ursodeoxycholic acid / insulin (human),++ -,NORMAL
A06AD11,A02BC01,0.003002646,5.84E-27,1.54E+21,50,0.835,1,A05AA02,A10AE05,15318,0.820482485,1.894310783,1.246695159,0.302,0.511736726,70496,1.888158732,2.536724674,2.188547199,2.53E-25,9.20E-25,0,ursodeoxycholic acid / insulin detemir,++ -,NORMAL
A08AA10,A02BD07,0.00318769,2.91E-23,3.49527E+17,70,0.807,1,A05AA02,A10AB05,15318,0.822509702,1.898994624,1.249776581,0.296,0.505182275,101983,1.813657126,2.337073704,2.058798285,6.12E-29,2.43E-28,0,ursodeoxycholic acid / insulin aspart,++ -,NORMAL
